X,Y,FID,OBJECTID,Municipali,Address,City,State,Zip_Code,Transparen,SymbolID
-90.5418936385,38.5972908879,1,1,Ballwin,300 Park Drive,St. Louis,MO,63011,0, 
-90.2890917581,38.542562291,2,2,Bella Villa,751 Avenue H,St. Louis,MO,63125,0, 
-90.2257643736,38.7415189511,3,3,Bellefontaine Neighbors,9641 Bellefontaine Road,St. Louis,MO,63137,0, 
-90.3174500346,38.7089671322,4,4,Bel-Nor,8416 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.3262359066,38.715668038,5,5,Bel-Ridge,8920 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.3344751448,38.7482440571,6,6,Berkeley 1,6120 Madison,St. Louis,MO,63134,0, 
-90.3349759646,38.7489747849,7,7,Berkeley 2,6140 N Hanley Road,St. Louis,MO,63134,0, 
-90.2918773521,38.7009366967,8,8,Beverly Hills,7150 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.2626169631,38.7947505978,9,9,Black Jack,12500 Old Jamestown Road,St. Louis,MO,63033,0, 
-90.3660067794,38.7192563466,10,10,Breckenridge Hills,9623 St. Charles Rock Road,St. Louis,MO,63114,0, 
-90.3484450372,38.618426881,11,11,Brentwood,2348 South Brentwood Boulevard,St. Louis,MO,63144,0, 
-90.423477424,38.7562674463,12,12,Bridgeton,12355 Natural Bridge Road,St. Louis,MO,63044,0, 
-90.3169267157,38.7646556963,13,13,Calverton Park,52 Young Drive,St. Louis,MO,63135,0, 
-90.3399166052,38.6963457123,14,14,Charlack,8401 Midland Boulevard,St. Louis,MO,63114,0, 
-90.5636697119,38.6619034193,15,15,Chesterfield,690 Chesterfield Parkway West,St. Louis,MO,63017,0, 
-90.5871304714,38.6049083075,16,16,Clarkson Valley,15933 Clayton Road,St. Louis,MO,63011,0, 
-90.3414655819,38.6498461108,17,17,Clayton,10 South Brentwood Boulevard,St. Louis,MO,63105,0, 
-90.3029090365,38.707701536,18,18,Cool Valley,100 Signal Drive,St. Louis,MO,63121,0, 
-90.2742826561,38.7194533192,19,19,Country Club Hills,7422 Eunice Avenue,St. Louis,MO,63136,0, 
-90.3856954303,38.5593659191,20,20,Crestwood,1 Detjen Drive,St. Louis,MO,63126,0, 
-90.4432260007,38.6617903637,21,21,Creve Coeur,300 North New Ballas Road,St. Louis,MO,63141,0, 
-90.2818002623,38.7494479864,22,22,Dellwood,1415 Chambers Road,St. Louis,MO,63135,0, 
-90.4419090966,38.6033243105,23,23,Des Peres,12325 Manchester Road,St. Louis,MO,63131,0, 
-90.3638459044,38.7330351286,24,24,Edmundson,4440 Holman Lane,St. Louis,MO,63134,0, 
-90.5922536201,38.5928963036,25,25,Ellisville,37 Weis Avenue,St. Louis,MO,63011,0, 
-90.6292193605,38.4953642575,26,26,Eureka,120 City Hall Drive,St. Louis,MO,63025,0, 
-90.4520433551,38.5177510863,27,27,Fenton,625 New Smizer Mill Road,St. Louis,MO,63026,0, 
-90.3038682253,38.7449933673,28,28,Ferguson,110 Church Street,St. Louis,MO,63135,0, 
-90.2618392421,38.7170552868,29,29,Flordell Hills,7001 Brandon Avenue,St. Louis,MO,63136,0, 
-90.3612334032,38.807136861,30,30,Florissant,315 Howdershell Road,St. Louis,MO,63031,0, 
-90.4121602208,38.6330777697,31,31,Frontenac,10555 Clayton Road,St. Louis,MO,63131,0, 
-90.3864756477,38.5897099216,32,32,Glendale,424 North Sappington Road,St. Louis,MO,63122,0, 
-90.3439978258,38.5486115852,33,33,Grantwood Village,One Missionary Way,St. Louis,MO,63123,0, 
-90.3032295204,38.7062945944,34,34,Greendale,7700 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.3234757745,38.68316018,35,35,Hanley Hills,7713 Utica Drive,St. Louis,MO,63133,0, 
-90.3552466951,38.7849951925,36,36,Hazelwood,415 Elm Grove Lane,St. Louis,MO,63042,0, 
-90.2895323252,38.6852744341,37,37,Hillsdale,6428 Jesse Jackson Avenue,St. Louis,MO,63121,0, 
-90.2666946021,38.7102848451,38,38,Jennings,7005 Florence Avenue,St. Louis,MO,63136,0, 
-90.3225356184,38.7377106905,39,39,Kinloch,8140 Scott,St. Louis,MO,63140,0, 
-90.4064351847,38.58022142,40,40,Kirkwood,139 S. Kirkwood Road,St. Louis,MO,63122,0, 
-90.379610698,38.6408066532,41,41,Ladue,9435 Clayton Road,St. Louis,MO,63124,0, 
-90.3381205388,38.5367941311,42,42,Lakeshire,10000 Puttington Drive,St. Louis,MO,63123,0, 
-90.3266961082,38.5935141803,43,43,Mackenzie,4400 Shrewsbury Avenue,St. Louis,MO,63119,0, 
-90.5048458981,38.5952018537,44,44,Manchester,200 Highlands Blvd. Dr.,St. Louis,MO,63011,0, 
-90.3260028262,38.6129191723,45,45,Maplewood,7601 Manchester Road,St. Louis,MO,63143,0, 
-90.3376030472,38.570863457,46,46,Marlborough,7826 Wimbledon Drive,St. Louis,MO,63119,0, 
-90.4355207454,38.714558134,47,47,Maryland Heights,11911 Dorsett Road,St. Louis,MO,63043,0, 
-90.243990782,38.7511275013,48,48,Moline Acres,2449 Chambers Road,St. Louis,MO,63136,0, 
-90.3032295204,38.7062945944,49,49,Normandy,7700 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.2802547827,38.7060020487,50,50,Northwoods,4600 Oakridge Boulevard,St. Louis,MO,63121,0, 
-90.3790804216,38.5828927926,51,51,Oakland,1320 W. Lockwood Avenue,St. Louis,MO,63122,0, 
-90.3804312596,38.6741378872,52,52,Olivette,9473 Olive Boulevard,St. Louis,MO,63132,0, 
-90.3590683547,38.7002178992,53,53,Overland,2410 Goodale Avenue,St. Louis,MO,63114,0, 
-91.1054967044,38.2744002199,54,54,Pacific,300 Hoven Drive,St. Louis,MO,63079,0, 
-90.3073918274,38.6820466053,55,55,Pagedale,1420 Ferguson Avenue,St. Louis,MO,63133,0, 
-90.2934962599,38.7044588996,56,56,Pasadena Hills,3915 Roland Boulevard,St. Louis,MO,63121,0, 
-90.2980614353,38.7098808648,57,57,Pasadena Park,7615 South Sunset,St. Louis,MO,63121,0, 
-90.2781633934,38.6928618759,58,58,Pine Lawn,6250 Steve Marve Avenue,St. Louis,MO,63121,0, 
-90.3187518004,38.6279212327,59,59,Richmond Heights,7447 Dale Avenue,St. Louis,MO,63117,0, 
-90.2149658271,38.7400911889,60,60,Riverview,9699 Lilac Drive,St. Louis,MO,63137,0, 
-90.3623925003,38.6054630948,61,61,Rock Hill,320 West Thornton Avenue,St. Louis,MO,63119,0, 
-90.3266961082,38.5935141803,62,62,Shrewsbury,4400 Shrewsbury Avenue,St. Louis,MO,63119,0, 
-90.3826259346,38.7284056812,63,63,St. Ann,10405 St. Charles Rock Road,St. Louis,MO,63074,0, 
-90.3518841689,38.71151496,64,64,St. John,8944 St. Charles Rock Road,St. Louis,MO,63114,0, 
-90.4024240435,38.5453508001,65,65,Sunset Hills,3939 South Lindbergh,St. Louis,MO,63127,0, 
-90.3518841689,38.71151496,66,66,Sycamore Hills,8944 St. Charles Rock Road,St. Louis,MO,63114,0, 
-90.4514359269,38.6320159805,67,67,Town and Country,1011 Municipal Center Drive,St. Louis,MO,63131,0, 
-90.3159185409,38.664023501,68,68,University City,975 Pennsylvania Avenue,St. Louis,MO,63130,0, 
-90.2810794901,38.6937195385,69,69,Uplands Park,6390 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.4874996968,38.5514403422,70,70,Valley Park,320 Benton Street,St. Louis,MO,63088,0, 
-90.2961874463,38.6925892404,71,71,Velda City,2560 Lucas & Hunt Road,St. Louis,MO,63121,0, 
-90.2858865773,38.6931288761,72,72,Velda Village Hills,3501 Avondale Avenue,St. Louis,MO,63121,0, 
-90.3388338371,38.6955648135,73,73,Vinita Park,8374 Midland Boulevard,St. Louis,MO,63114,0, 
-90.3298625582,38.6835881272,74,74,Vinita Terrace,8027 Page Boulevard,St. Louis,MO,63130,0, 
-90.385568873,38.603137882,75,75,Warson Woods,10015 Manchester Road,St. Louis,MO,63122,0, 
-90.3465676507,38.588830879,76,76,Webster Groves,4 Lockwood Aveue,St. Louis,MO,63119,0, 
-90.2892327298,38.6753834804,77,77,Wellston,1414 Evergreen,St. Louis,MO,63133,0, 
-90.6308922652,38.5809032499,78,78,Wildwood,16860 Main Street,St. Louis,MO,63040,0, 
-90.5271259856,38.5926819983,79,79,Winchester,109 Lindy Boulevard,St. Louis,MO,63021,0, 
-90.3578985227,38.7280837785,80,80,Woodson Terrace,4323 Woodson Road,St. Louis,MO,63134,0, 
-90.3385925738,38.6489335085,81,81,Unincorporated Central St. Louis County,7900 Carondelet Avenue,St. Louis,MO,63105,0, 
-90.5802473803,38.6275119971,82,82,Unincorporated West St. Louis County,82 Clarkson Wilson Centre,St. Louis,MO,63017,0, 
-90.3591160265,38.7815535922,83,83,Unincorporated North St. Louis County,21 Village Square,St. Louis,MO,63042,0, 
-90.3366737275,38.4967646838,84,84,Unincorporated South St. Louis County,4544 Lemay Ferry Road,St. Louis,MO,63129,0, 
